initial_timeout,pbft
0.01, 0.04472510145279461,
0.02, 0.05667983001761963,
0.03, 0.06851373398015873,
0.04, 0.08071940832202795,
0.05, 0.0927770982586972,
0.06, 0.10470755719508168,
0.07, 0.11672267886171715,
0.08, 0.12872727404803466,
0.09, 0.14076153649588125,
0.10, 0.1527543585057011,
0.11, 0.16479706839366248,
0.12, 0.17685549739991116,
0.13, 0.18887869891668735,
0.14, 0.20088669208637294,
0.15, 0.2128890533732741,
0.16, 0.2249356162088213,
0.17, 0.23690700577553414,
0.18, 0.24889307610631042,
0.19, 0.26089919742061807,
0.20, 0.2728814003620725,
0.21, 0.2848868141446388,
0.22, 0.2968778114676578,
0.23, 0.3088740637198494,
0.24, 0.3209051713352554,
0.25, 0.33291505593390514,
0.26, 0.34493726835969796,
0.27, 0.35698547574688194,
0.28, 0.3689886557279014,
0.29, 0.380975831149506,
0.30, 0.3929983913438191,
0.31, 0.4050169959321643,
0.32, 0.4170050212061342,
0.33, 0.42899988329608063,
0.34, 0.4410112999210052,
0.35, 0.4530202055018987,
0.36, 0.46503412352835055,
0.37, 0.47702957674315216,
0.38, 0.4890282100641025,
0.39, 0.5010491871735313,
0.40, 0.5130485612593643,