nodeNum, PoSWbft
2, 4.36,
12, 3.46,
22, NaN,
32, 3.04,
42, 5.6,
52, 7.46,
62, 10.14,
72, 13.96,
82, 17.68,
92, 23.16,
102, NaN,
112, NaN,
122, NaN,
132, NaN,
142, 52.82,
152, NaN,
162, NaN,
172, NaN,
182, 90.56,
192, 103.68,
202, NaN,
212, 128.74,
222, 141.56,
232, 156.82,
242, 172.74,
252, 188.1,
262, NaN,
272, 158.96,
282, 117.28,
292, 112.76,
302, 119.34,
312, 116.6,
322, 116.42,
332, 116.56,
342, 116.92,
352, 116.9,
362, 116.94,
372, 117.06,
382, 117.08,
392, 117.58,
402, 117.5,
412, 117.36,
422, 117.38,
432, 117.94,
442, 117.94,
452, 118.32,
462, 118.4,
472, 118.32,
482, 120.6,
492, 123.64,
502, 118.7,
512, 119.04,
522, 118.72,
532, 118.94,
542, 119.06,
552, 118.98,
562, 119.04,
572, 119.54,
582, 119.78,
592, 119.52,
602, 119.68,
612, 120.26,
622, 120.08,
632, 120.38,
642, 120.24,
652, 120.52,
662, 120.38,
672, 120.7,
682, 120.68,
692, 120.92,
702, 121.1,
712, 121.08,
722, 121.56,
732, 121.4,
742, 121.74,
752, 121.62,
762, 121.78,
772, 121.9,
782, 122.0,
792, 122.36,
802, 122.24,
812, 122.34,
822, 122.54,
832, 122.68,
842, 122.76,
852, 122.66,
862, 123.42,
872, 122.96,
882, 123.4,
892, 123.18,
902, 123.22,
912, 123.68,
922, 123.7,
932, 123.96,
942, 123.92,
952, 124.22,
962, 124.14,
972, 123.86,
982, 124.4,
992, 125.94,