initial_timeout,tendermint
0.01, 0.9783526741210472,
0.02, 0.9156690574896682,
0.03, 0.777938634095663,
0.04, 0.8740281399688211,
0.05, 0.9796835366204968,
0.06, 0.6630665283919481,
0.07, 0.6515334726615215,
0.08, 0.752387985607654,
0.09, 0.8036064759166289,
0.10, 0.8216138659356443,
0.11, 0.8701091479483918,
0.12, 0.48696939169479475,
0.13, 0.4228301745890767,
0.14, 0.46462703044012654,
0.15, 0.4682879712936745,
0.16, 0.5046730221651248,
0.17, 0.5248700360171953,
0.18, 0.5728360953029601,
0.19, 0.5756974521871981,
0.20, 0.5935688856342639,
0.21, 0.5911303759333373,
0.22, 0.6363696968985769,
0.23, 0.6555997748937142,
0.24, 0.6675556680899524,
0.25, 0.6914529047903898,
0.26, 0.7237962667776449,
0.27, 0.7874165955943727,
0.28, 0.7966162552334206,
0.29, 0.7927414532767857,
0.30, 0.8029227221204565,
0.31, 0.8655905336424613,
0.32, 0.8533618102430921,
0.33, 0.9233881356566822,
0.34, 0.9250277046730206,
0.35, 0.9556799592199895,
0.36, 1.0028792511477402,
0.37, 1.0247154864304002,
0.38, 1.0011630599962613,
0.39, 1.0739515096912822,